Patient,Neuron Name,Pre-Stim T-Score,Pre-Stim P-Value,Pre-Stim Significant,Post-Stim T-Score,Post-Stim P-Value,Post-Stim Significant,T-Score Diff (Pre - Post),Post-Stim Mean Rate (Hz),N Clips
P574_exp_10_preSleep,times_manual_GA1-REC2_unit_1,0.13638436380531,0.8919230209443634,False,2.3825916614710465,0.019988729132202274,True,-2.2462072976657366,0.38666666666666666,75
P574_exp_10_preSleep,times_manual_GA1-REC4_unit_1,-0.4176865336426663,0.6780365867891478,False,0.08517758374266017,0.9323999548566403,False,-0.5028641173853264,3.9466666666666668,75
P574_exp_10_preSleep,times_manual_GA1-REC5_unit_1,-1.5284446732616963,0.13238747116415603,False,0.4229653088426918,0.6736244424746961,False,-1.951409982104388,0.8133333333333334,75
P574_exp_10_preSleep,times_manual_GA1-REC6_unit_1,-0.6039294911299649,0.5481814608260829,False,0.553194756559429,0.5818256775853234,False,-1.157124247689394,0.92,75
P574_exp_10_preSleep,times_manual_GA1-REC6_unit_2,-0.2484834199945088,0.8045006471217394,False,-1.4872716878628405,0.14251925229726561,False,1.2387882678683317,5.946666666666666,75
P574_exp_10_preSleep,times_manual_GA1-REC8_unit_1,1.3556312320018296,0.1796475112537735,False,1.3553722945711928,0.17978723392568344,False,0.0002589374306367631,0.29333333333333333,75
P574_exp_10_preSleep,times_manual_GA2-RA1_unit_1,-2.209345125930293,0.032429616602572896,True,-0.44476378947400586,0.6578733819559957,False,-1.7645813364562875,0.56,75
P574_exp_10_preSleep,times_manual_GA2-RA2_unit_1,0.31894392161373214,0.7507299763296646,False,2.6372114847034345,0.010577847639980499,True,-2.3182675630897025,1.1866666666666668,75
P574_exp_10_preSleep,times_manual_GA2-RA3_unit_1,-0.25596584668539407,0.798776153640614,False,-0.08939788750416114,0.9291749497381326,False,-0.16656795918123293,1.8133333333333332,75
P574_exp_10_preSleep,times_manual_GA2-RA4_unit_1,-1.6939684214894268,0.09467471929188122,False,0.9731360953670928,0.3337017539153732,False,-2.6671045168565195,3.5733333333333333,75
P574_exp_10_preSleep,times_manual_GA2-RA4_unit_2,-0.764980191380111,0.4469712911698921,False,0.35348933594076665,0.7247436910280042,False,-1.1184695273208776,0.56,75
P574_exp_10_preSleep,times_manual_GA2-RA5_unit_1,1.438927711705031,0.15457828668715354,False,1.0261195135628414,0.3082856921391904,False,0.4128081981421896,1.0133333333333334,75
P574_exp_10_preSleep,times_manual_GA2-RA6_unit_1,0.3430987549230849,0.7325110760005084,False,1.7026254585088705,0.09302654475048976,False,-1.3595267035857856,1.92,75
P574_exp_10_preSleep,times_manual_GA2-RA6_unit_2,1.9061367466445578,0.060594662334113876,False,0.8783439880893639,0.3827485941777163,False,1.027792758555194,0.32,75
